url,api,type,boot,logo,urls,user-agent,pass,timeout,core,ua,epg,catchup,playertype,ext,name
http://127.0.0.1:10079/p/0/proxy/http://我不是.肥猫.live/TV/tvzb.txt,,0,,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.12.13,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/?ch={name}&date={date},,1,,live.feimao
,,,,,['proxy://do=live&type=live&proxy=&url='],,,,,,,,,,redirect
http://127.0.0.1:9978/proxy?do=live&url=https://fs-im-kefu.7moor-fs2.com/im/2768a390-5474-11ea-afc9-7b323e3e16c0/owXrpU7F.bmp,,0,,,,,,10,,,http://cdn.1678520.xyz/epg/?ch={name}&date={date},,2,,爱直播
http://127.0.0.1:9978/proxy?do=live&url=https://fs-im-kefu.7moor-fs2.com/im/2768a390-5474-11ea-afc9-7b323e3e16c0/PeIgAty8.txt,,0,,,,,,10,,,,,2,,综合
http://127.0.0.1:9978/proxy?do=live&url=https://raw.githubusercontent.com/fanmingming/live/refs/heads/main/tv/m3u/ipv6.m3u,,0,,,,,,10,,,,,2,,范明明
http://127.0.0.1:9978/proxy?do=live&url=https://fs-im-kefu.7moor-fs1.com/ly/4d2c3f00-7d4c-11e5-af15-41bf63ae4ea0/1740592110565/zq.fif.txt,,0,,,,,,10,,,,"{'type': 'append', 'source': ""&starttime=${(b)yyyyMMdd'T'HHmm}00.00Z&endtime=${(e)yyyyMMdd'T'HHmm}00.00Z""}",2,,国内Live
http://127.0.0.1:9978/proxy?do=live&url=https://fs-im-kefu.7moor-fs1.com/ly/4d2c3f00-7d4c-11e5-af15-41bf63ae4ea0/1739616589773/zq.txt,,0,,,,,,10,,,,"{'type': 'append', 'source': ""&starttime=${(b)yyyyMMdd'T'HHmm}00.00Z&endtime=${(e)yyyyMMdd'T'HHmm}00.00Z""}",2,,国内移动
http://127.0.0.1:9978/proxy?do=live&u=Gather,,0,,,,,,10,,okhttp/3.15,,,2,,电视Live
http://127.0.0.1:9978/proxy?do=live&url=https://fs-im-kefu.7moor-fs1.com/ly/4d2c3f00-7d4c-11e5-af15-41bf63ae4ea0/1744201662209/jjssyydd.txt,,0,,,,,,10,,,,,2,,江苏移动
yqk,csp_HuyaGuard,3,,,,,,10,,,,,2,,一起看
